LocalOrderCode;ProductId;Description;Description DE;Price;Weight;DiscountFamilyGroup
PPFH0250COL;1STQ004400B0000;N.2 HORIZONTAL PROFILES IP31 W=250MM SPECIAL COLOUR VERSION;N.2 HOR./QUERPROFILE IP31 B=250MM GEFÄRBTE VERSION;39.1;1.2;Missing
PPFH0500COL;1STQ004401B0000;N.2 HORIZONTAL PROFILES IP31 W=500MM SPECIAL COLOUR VERSION;N.2 HOR./QUERPROFILE IP31 B=500MM GEFÄRBTE VERSION;43.7;1.7;Missing
PPFH0750COL;1STQ004402B0000;N.2 HORIZONTAL PROFILES IP31 W=750MM SPECIAL COLOUR VERSION;N.2 HOR./QUERPROFILE IP31 B=750MM GEFÄRBTE VERSION;50.6;2.2;Missing
PPFH1000COL;1STQ004403B0000;2 IP31 HORIZONTAL PROFILE W=1000MM SPECIAL COLOUR VERSION;2 IP31 HORIZ. PROFILEN B=1000MM GEFÄRBTE VERSION;57.5;2.8;Missing
PPFH1250COL;1STQ004404B0000;2 IP31 HORIZONTAL PROFILE W=1250MM SPECIAL COLOUR VERSION;2 IP31 HORIZ. PROFILEN B=1250MM GEFÄRBTE VERSION;65.55;3.3;Missing
PPFV1800COL;1STQ004405B0000;2 IP31 VERTICAL PROFILE H=1800MM SPECIAL COLOUR VERSION;2 IP31VERT. PROFILEN H=1800MM GEFÄRBTE VERSION;115;4.5;Missing
PPFV2100COL;1STQ004406B0000;N.2 IP31 VERTICAL PROFILE H=2100MM SPECIAL COLOUR VERSION;N.2 IP31 HÖHENPROFIL H=2100MM GEFÄRBTE VERSION;124.2;5.4;Missing
PPLB1826COL;1STQ004407B0000;IP65 EXT. PANEL LEFT H=1800 W=625MM SPECIAL COLOUR VERSION;IP65 EXT.PLATTE LINKS H=1800 B625MM GEFÄRBTE VERSION;82.8;20.0;Missing
PPLB2126COL;1STQ004408B0000;IP65 EXT. PANEL LEFT H=2100 W=625MM SPECIAL COLOUR VERSION;IP65 EXT.PLATTE LINKS H=2100 B625MM GEFÄRBTE VERSION;105.8;23.0;Missing
PPRB1826COL;1STQ004409B0000;IP65 EXT. PANEL RIGHT H=1800 W=625MM SPECIAL COLOUR VERSION;IP65 EXT.PLATTE RECHTS H=1800 B625MM GEFÄRBTE VERSION;82.8;22.5;Missing
PPRB2126COL;1STQ004410B0000;IP65 EXT. PANEL RIGHT H=2100 W=625MM SPECIAL COLOUR VERSION;IP65 EXT.PLATTE RECHTS H=2100 B625MM GEFÄRBTE VERSION;105.8;26.0;Missing
PTBB1026COL;1STQ004411B0000;IP65 BLIND TOP/BOTTOM W=1000MM D=200MM SPECIAL COLOUR VERSION;IP65 DECKBL/BODENBLECH B=1000MM T=200MM GEFÄRBTE VERSION;64.4115;4.7;Missing
PTBB1036COL;1STQ004412B0000;IP65 BLIND TOP/BOTTOM W=1000MM D=300MM SPECIAL COLOUR VERSION;IP65 DECKBL/BODENBLECH B=1000MM T=300MM GEFÄRBTE VERSION;72.9675;6.1;Missing
PTBB1056COL;1STQ004413B0000;IP65 BLIND TOP/BOTTOM W=1000MM D=500MM SPECIAL COLOUR VERSION;IP65 DECKBL/BODENBLECH B=1000MM T=500MM GEFÄRBTE VERSION;76.843;9.2;Missing
PTBB1076COL;1STQ004414B0000;IP65 BLIND TOP/BOTTOM W=1000MM D=700MM SPECIAL COLOUR VERSION;IP65 DECKBL/BODENBLECH B=1000MM T=700MM GEFÄRBTE VERSION;87.63;11.9;Missing
PTBB1220COL;1STQ004415B0000;IP40 BLIND TOP/BOTTOM W=1250MM D=200MM SPECIAL COLOUR VERSION;IP40 DECKBL/BODENBLECH B=1250MM T=200MM GEFÄRBTE VERSION;69.5405;5.5;Missing
PTBB1236COL;1STQ004416B0000;IP65 BLIND TOP/BOTTOM W=1250MM D=300MM SPECIAL COLOUR VERSION;IP65 BLIND DACH/BODEN B1250 MM T300MM GEFÄRBTE VERSION;79.948;7.0;Missing
PTBB1256COL;1STQ004417B0000;IP65 BLIND TOP/BOTTOM W=1250MM D=500MM SPECIAL COLOUR VERSION;IP65 BLIND DACH/BODEN B1250 MM T500MM GEFÄRBTE VERSION;84.916;10.0;Missing
PTBB1276COL;1STQ004418B0000;IP65 BLIND TOP/BOTTOM W=1250MM D=700MM SPECIAL COLOUR VERSION;IP65 BLIND DACH/BODEN B1250 MM T700MM GEFÄRBTE VERSION;94.691;13.0;Missing
PTBB2526COL;1STQ004419B0000;IP65 BLIND TOP/BOTTOM W=250MM D=200MM SPECIAL COLOUR VERSION;IP65 DECKBL./BODENBLECH B=250MM T=200MM GEFÄRBTE VERSION;31.832;1.5;Missing
PTBB2536COL;1STQ004420B0000;IP65 BLIND TOP/BOTTOM W=250MM D=300MM SPECIAL COLOUR VERSION;IP65 DECKBL./BODENBLECH B=250MM T=300MM GEFÄRBTE VERSION;34.27;2.0;Missing
PTBB2556COL;1STQ004421B0000;IP65 BLIND TOP/BOTTOM W=250MM D=500MM SPECIAL COLOUR VERSION;IP65 DECKBL./BODENBLECH B=250MM T=500MM GEFÄRBTE VERSION;37.697;3.1;Missing
PTBB2576COL;1STQ004422B0000;IP65 BLIND TOP/BOTTOM W=250MM D=700MM SPECIAL COLOUR VERSION;IP65 DECKBL./BODENBLECH B=250MM T=700MM GEFÄRBTE VERSION;41.9175;4.1;Missing
PTBB3056COL;1STQ004423B0000;IP65 BL.TOP/BOTTOM W/D=300MM D/W=500MM SPECIAL COLOUR VERSION;IP65 DECKBL/BODENBL. B/T=300MM T/B=500MM GEFÄRBTE VERSION;38.4675;3.5;Missing
